gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
2,1,2.6,1.2,2.4,2.2,1.7740097469940113,1.3663930831055764
2,0,0.2,1.2,2.6,1.4,1.333297051746216,1.2638723861246954
2,2,0.6,1.4,3.0,2.8,1.4338842722194525,1.631125734063502
0,2,1.8,1.6,1.4,0.8,1.6960721038224367,0.9629094980233589
1,1,0.6,1.6,1.2,0.8,1.4703806191126587,0.9329323381264233
1,1,2.4,0.4,0.6,2.2,1.5665980099723844,1.0279162814246603
2,2,0.6,1.6,2.4,1.6,1.4703806191126587,1.258548163157048
1,1,1.8,2.0,2.4,0.8,1.7835104086957343,1.12787790029871
6,1,1.4,0.6,1.6,0.8,1.42624604968744,0.9938498897418983
1,1,1.4,1.8,1.2,1.2,1.6583968565273248,0.9854940890220514
1,0,2.0,1.6,1.0,1.8,1.7369210083022089,1.036631771146972
2,1,0.8,1.4,0.6,1.6,1.4684185361454585,0.9467862241558722
0,1,1.2,1.2,1.4,1.8,1.5017778803001816,1.1043205700494807
1,1,3.2,1.0,1.2,1.8,1.858008103644771,1.0699410210121056
3,1,2.0,2.6,0.8,2.2,1.9695110003708134,1.0609454835110768
3,1,1.4,1.4,1.2,1.0,1.57709236330152,0.9588531194511033
0,0,1.4,1.0,1.4,1.2,1.4997739006767061,1.017160173127816
3,3,2.2,1.8,2.0,1.4,1.8240279696381265,1.1494689787438808
1,1,0.6,1.0,2.2,1.8,1.3635867233315615,1.2532463691549518
1,0,0.8,1.6,2.2,1.4,1.5057938762045455,1.1864039352934341
0,1,2.2,0.6,0.8,2.0,1.5686912791569898,1.032264828134745
1,0,1.8,1.0,1.8,1.0,1.5728862122659037,1.054285067656268
2,0,1.4,1.2,0.6,1.8,1.5379473220615085,0.9730919246602086
6,0,1.4,1.8,1.0,1.8,1.6583968565273248,1.036631771146972
0,1,0.8,1.6,0.4,0.4,1.5057938762045455,0.7782246404134153
1,2,2.0,1.8,2.0,0.8,1.7811304838319,1.0587451661538752
1,1,1.0,1.6,1.4,2.6,1.542060040878017,1.2322615990651375
3,1,1.0,0.8,1.2,1.2,1.3945645117949474,0.9854940890220514
2,0,1.0,1.8,2.6,0.6,1.5813097622623815,1.1326493294718367
1,1,0.4,1.2,0.6,1.4,1.3654087313070071,0.9211916485324309
1,0,1.0,2.4,2.2,3.0,1.705155372562899,1.4772298833772912
5,0,1.2,1.4,2.6,1.2,1.540002308545804,1.2297059855796424
2,2,2.2,1.0,1.6,1.0,1.649562667826072,1.0214632166775823
1,4,1.2,0.4,1.4,0.8,1.3581352742094321,0.9629094980233589
2,3,2.0,0.4,0.6,1.8,1.4937779922578704,0.9730919246602086
0,0,1.2,1.4,1.4,1.2,1.540002308545804,1.017160173127816
1,2,0.2,1.6,0.4,1.4,1.4020330646990353,0.8925132427212249
1,3,1.0,0.6,1.6,2.6,1.3599499980249428,1.2718568638881085
0,0,1.2,1.8,1.2,1.4,1.6193946828774957,1.0128752566955892
1,0,2.0,1.4,1.0,1.0,1.6938088570529968,0.9290022421480278
1,2,1.8,1.2,0.8,1.6,1.612920545537126,0.9772085397620984
1,0,0.8,1.4,0.8,1.2,1.4684185361454585,0.9250887021981548
1,0,0.4,1.4,1.8,1.2,1.4001621850370347,1.0835775378341967
0,1,0.6,0.8,1.4,1.2,1.3297411098714822,1.017160173127816
